month,method,P,kappa,mat,mn,stdev,sharpe,xret,hjd
784,rff_lev_ens,3600,0.01,-1,0.2807361822609191,0.36054408294742346,0.7786459285808266,0.48077834336084263,0.30766194669636326
784,rff_lev_ens,3600,0.1,-1,0.20164338401005394,0.34578247860005534,0.5831509590261282,0.2973483954018769,0.4172682802410829
784,rff_lev_ens,3600,1.0,-1,0.13917957273983506,0.344715357136249,0.4037521678641785,-0.0053098880713258224,0.5201699568733115
785,ff,6,0.0,0,0.2627151023177716,0.4389352698588193,0.5985281210194666,-0.1366505853863208,0.3799875144819339
785,fm,6,0.0,0,0.3236048232702468,0.4781930939814881,0.6767241671682825,0.48669137261789136,0.3299133932404678
785,linrank,6,0.0,0,0.2879746281696203,0.43831157720127567,0.6570089478548735,0.1966509719999102,0.34283149184446565
785,linrank,6,0.001,0,0.2073432287289348,0.339852499312273,0.6100977016456123,0.45192641191648775,0.38753880133627366
785,linrank,6,0.01,0,0.1533296501276182,0.3007123856247207,0.5098880440494016,0.3783756315901389,0.45101294322673746
785,linrank,6,0.1,0,0.08393134274523857,0.23212358413419584,0.36158041871659186,0.08983287800711934,0.5367974661214521
785,linrank,6,1.0,0,0.031739012133715036,0.10058373625180184,0.3155481523798185,0.009121560034493386,0.5913807516277716
785,rff,36,0.001,0,0.42081687124472167,0.5302321082222622,0.7936465270947418,0.17335436961949852,0.2603335082301834
785,rff,36,0.01,0,0.2972912942901226,0.43508832490499955,0.6832895236962182,-0.03133063529202129,0.3268356985546951
785,rff,36,0.1,0,0.2087162137888453,0.37844723241077577,0.5515067779972551,-0.12731950662008296,0.4130866610456415
785,rff,36,1.0,0,0.1486538460036716,0.3417900198858592,0.4349274038291538,-0.16050926636004315,0.48534501462352164
785,rff,360,0.001,0,0.4867954141323773,0.6078157862005951,0.800893009336421,0.29594525496866825,0.27655329991581096
785,rff,360,0.01,0,0.3554448111727911,0.48903683077257304,0.7268262609408471,0.08038299055589354,0.29834273630176655
785,rff,360,0.1,0,0.2218897113445263,0.3837744350162653,0.5781774164689268,-0.1349847459338267,0.39647276128916364
785,rff,360,1.0,0,0.14985257161275214,0.34196369255724696,0.4382119355775346,-0.17350277068627906,0.48342414002644357
785,rff,3600,0.001,0,0.49026906487148236,0.6049098822542147,0.8104828161254037,0.344140181402688,0.2694759148814065
785,rff,3600,0.01,0,0.3746953949615494,0.5037127036895216,0.7438672723896679,0.09675183086394101,0.2884666599461059
785,rff,3600,0.1,0,0.2248883606620391,0.38359611191775617,0.5862633996411717,-0.13753101513599655,0.3916783535212063
785,rff,3600,1.0,0,0.14925400195028388,0.34202937269787786,0.43637773204385943,-0.1743325678170174,0.48448716799131686
785,rff,36,0.001,1,0.48486241870510427,0.6246964693837687,0.7761568096957494,0.24610792305174675,0.2993467295285066
785,rff,36,0.01,1,0.33043194969883694,0.468743483477045,0.7049312925862118,-0.008425828289205517,0.311776150291901
785,rff,36,0.1,1,0.19680264162222666,0.3710411115833978,0.5304065654136871,-0.2078890371339766,0.4265318259956822
785,rff,36,1.0,1,0.13955869848552896,0.34386097550602684,0.4058579147580035,-0.19319452103992518,0.5023339268334788
785,rff,360,0.001,1,0.48112872610412394,0.6076550769872763,0.791779324036156,0.3711795911682567,0.2822064144683473
785,rff,360,0.01,1,0.3700155535200261,0.5055223354507504,0.731946993380818,0.120890769634733,0.2961675574518656
785,rff,360,0.1,1,0.23130623136387607,0.3850452113058218,0.6007248618400848,-0.12051935352970433,0.3828842476951572
785,rff,360,1.0,1,0.15161048164047175,0.34150653599473074,0.44394606152665556,-0.17040195298372035,0.4801258119950381
785,rff,3600,0.001,1,0.48996460934261865,0.6153061457570714,0.7962940281374359,0.41970522396024074,0.2824720757350555
