method,P,kappa,sharpe,hjd,real_sr,t_vs_fm
rff_ens,360,0.1,0.645869033792062,0.5994760320949986,0.70843447185128,-23.81352107068607
rff_ens,360,1.0,0.46217976968645436,0.6892915529201553,0.5160481660709135,-66.3917957251215
rff_ens,3600,0.001,0.8430714706833239,0.48808510791897486,0.9275068665740344,19.07225482023782
rff_ens,3600,0.01,0.7824657080867263,0.5190027986629636,0.8773901610900617,10.177475517016333
rff_ens,3600,0.1,0.6397911318728484,0.6026208904720994,0.6998850733018994,-25.217204113905144
rff_ens,3600,1.0,0.4573198035103449,0.691262204478647,0.5112610186921688,-67.39501821387526
rff_lev,36,0.001,0.671213000413643,0.612668039700139,0.766229249241072,-10.722840141564859
rff_lev,36,0.01,0.6849165813252428,0.5794708529120849,0.7854378875915742,-9.478943029169589
rff_lev,36,0.1,0.622027578784018,0.6143447484373328,0.7010755499254993,-24.67902092822545
rff_lev,36,1.0,0.4218522786271259,0.7055830389328321,0.4812430935946278,-68.67266360545877
rff_lev,360,0.001,0.7577026740313728,0.5544235614803761,0.7743663093133522,2.1578552689191346
rff_lev,360,0.01,0.7425549978504207,0.5469890054426325,0.8124141928496548,0.32863681042868353
rff_lev,360,0.1,0.6382220516052823,0.6057542086174568,0.7049943737410361,-23.97058522919913
rff_lev,360,1.0,0.43137218703450375,0.7018256178343263,0.48798777827696077,-64.60235850814043
rff_lev,3600,0.001,0.7912816265140539,0.5312499208862465,0.7712367127837372,7.265486371521518
rff_lev,3600,0.01,0.746149977560133,0.5435407402458111,0.8062334186506154,1.0589151960243237
rff_lev,3600,0.1,0.6381152850998861,0.6068150245427872,0.7032639072405652,-25.035483820523353
rff_lev,3600,1.0,0.42596984877897454,0.7039569116661727,0.48307767518734557,-66.38314393926287
rff_lev_ens,36,0.001,0.698650436473399,0.5863920455754876,0.7994841715322194,-6.293615337290533
rff_lev_ens,36,0.01,0.6996884703280015,0.5692386786637503,0.8012510556135042,-6.9902475944415645
rff_lev_ens,36,0.1,0.6275717809815243,0.6122967186407715,0.7050546705614426,-23.996412279749464
rff_lev_ens,36,1.0,0.422131217958935,0.7054658850818023,0.48056248851797223,-68.5972987949145
rff_lev_ens,360,0.001,0.7738536916474008,0.5421241866452065,0.7910355535231101,4.2547600885549155
rff_lev_ens,360,0.01,0.7446418674178109,0.5455396179713006,0.8136372536950628,0.7186126918506344
rff_lev_ens,360,0.1,0.6390261310440606,0.6054506239104759,0.7045860000502189,-23.767254393734255
rff_lev_ens,360,1.0,0.4314108535638956,0.7018104777883826,0.48705400178230907,-64.58452323998866
rff_lev_ens,3600,0.001,0.793689527749372,0.5294411976638719,0.7721811138976826,7.596001407237323
rff_lev_ens,3600,0.01,0.746382360809449,0.5433705308818397,0.8048894524998447,1.1045526667648249
rff_lev_ens,3600,0.1,0.6381959657456331,0.6067855023963529,0.7019418408642981,-25.01578795854208
rff_lev_ens,3600,1.0,0.42597317922842304,0.703955464930926,0.4821106071713736,-66.38179635699998
