method,P,kappa,sharpe,hjd,real_sr,t_vs_fm
rff,36,1.0,0.3015610539144968,0.6572277918088824,0.3605067703000503,-65.01051322150421
rff,36,3.0,0.26071843414112605,0.6723047141105024,0.32533985572942403,-76.20058920698436
rff,36,10.0,0.24211601820786371,0.6791781610292934,0.3093178716982291,-80.45517194034215
rff,360,0.001,0.568127737490835,0.5282903843900931,0.5860859597198125,4.679724086970632
rff,360,0.01,0.525698989261445,0.5472433439078884,0.5707714944435017,-4.698309108707908
rff,360,0.03,0.4827094701125337,0.5719817666333943,0.5236222313915795,-15.384723244733806
rff,360,0.1,0.4346008189732337,0.5989001217931239,0.4738813453642356,-30.038480122053322
rff,360,0.3,0.38027804503534796,0.6258713097002744,0.4256119231142041,-46.86950976315772
rff,360,1.0,0.305588895089758,0.6557020916587135,0.3622432608534345,-65.7986286662121
rff,360,3.0,0.2619024380934459,0.6718433868438553,0.3256562525467233,-76.09319653945383
rff,360,10.0,0.24244577204331855,0.6790511510717183,0.30936766135956983,-80.35331124266779
rff,3600,0.001,0.567115169018413,0.5297745231682722,0.5861815764418747,4.394106586649831
rff,3600,0.01,0.5254615957711404,0.547438228061131,0.5676198372328596,-4.9895074182828205
rff,3600,0.03,0.479685757745775,0.573611812670763,0.5189378942207091,-16.733399496008527
rff,3600,0.1,0.43029907482235136,0.6009409266206763,0.4698437594770084,-31.40311588754136
rff,3600,0.3,0.3762728089824096,0.6275301290900683,0.42248530631144227,-48.00983098670054
rff,3600,1.0,0.30322486230339774,0.6565907988318623,0.3604941667647947,-66.8246896071214
rff,3600,3.0,0.2609024753855573,0.6722159913463893,0.32492722954187403,-76.62000483654444
rff,3600,10.0,0.2421194366597443,0.6791735084317639,0.30913083575067385,-80.53596857611291
rff_ens,36,0.001,0.5705935663267988,0.5216829149087319,0.6002086485594057,4.814081426002547
rff_ens,36,0.01,0.5005109186620716,0.5614667889311706,0.5436149996986518,-8.335212397419776
rff_ens,36,0.03,0.45769781431724577,0.5850267416819275,0.500420561778942,-16.5653701483483
rff_ens,36,0.1,0.4186960104416568,0.6063232103400485,0.46244232239232275,-26.91402199389535
rff_ens,36,0.3,0.37140496976559517,0.6295400634528552,0.4205520337590586,-42.47659961867005
rff_ens,36,1.0,0.3022153438844439,0.6569866013568432,0.36046189221600516,-64.71128593115273
rff_ens,36,3.0,0.26078331298887825,0.6722653541454864,0.3247861179364415,-76.16443356344467
rff_ens,36,10.0,0.2421205430764474,0.6791740496512435,0.3087060083899328,-80.45192371740049
rff_ens,360,0.001,0.5706576041682037,0.5262254456806424,0.5874975238293619,5.18326185620934
rff_ens,360,0.01,0.5263507964739014,0.546867426315203,0.5703567751152954,-4.540312935416367
rff_ens,360,0.03,0.4830795679634764,0.571802995197167,0.5230018954111543,-15.302163343494735
rff_ens,360,0.1,0.434765002302174,0.598830377547033,0.473136984695014,-30.005321494561166
rff_ens,360,0.3,0.3803374942223376,0.6258485550133543,0.42483708943462056,-46.856350295541795
rff_ens,360,1.0,0.30559893721909703,0.6556979593979105,0.36152937089630194,-65.79478932576914
rff_ens,360,3.0,0.2619036769729981,0.6718427815364394,0.32500356837475386,-76.09256272535231
rff_ens,360,10.0,0.24244588296964456,0.6790510903230624,0.308745997005372,-80.35324755509792
rff_ens,3600,0.001,0.5674068789480924,0.5295006769340626,0.5854129716411032,4.4469891121305976
rff_ens,3600,0.01,0.5255358991273462,0.5473950872500755,0.5665640446068794,-4.971203292593241
rff_ens,3600,0.03,0.4797320014210526,0.5735892989190277,0.5179484486757495,-16.722934849331793
rff_ens,3600,0.1,0.4303177503054309,0.6009331182836006,0.4689221585599659,-31.398143732398943
rff_ens,3600,0.3,0.3762803767018043,0.6275272163714171,0.42164605329389304,-48.009215739007615
rff_ens,3600,1.0,0.30322657820027127,0.6565900781626854,0.35977184627146297,-66.82423295686662
rff_ens,3600,3.0,0.26090269636430546,0.6722158684894392,0.3242744582370354,-76.6199027449201
rff_ens,3600,10.0,0.24211945571935956,0.6791734953191534,0.308509501697403,-80.53595781649186
rff_lev,36,0.001,0.42060470306111253,0.640603958882785,0.5020104497167867,-22.429605121268537
rff_lev,36,0.01,0.44651597256971803,0.595149623644466,0.5337803943231835,-19.691088062764365
rff_lev,36,0.03,0.44233594685860506,0.5931606261034887,0.5223604107096548,-23.680272673295526
rff_lev,36,0.1,0.406862064518723,0.6133218275235394,0.4720713061202343,-35.15615647313003
rff_lev,36,0.3,0.33983495135055386,0.6426785469284868,0.40054688349897033,-52.964463903212504
rff_lev,36,1.0,0.27602064454067543,0.6666425561488549,0.3404710906906687,-70.78942292879881
rff_lev,36,3.0,0.2488703917895136,0.676657083241038,0.3157783222030243,-78.20357003390384
rff_lev,36,10.0,0.2381410099135142,0.6806552310162182,0.3060728293430255,-81.0223893702705
