month,method,P,kappa,mat,mn,stdev,sharpe,xret,hjd
464,rff_lev_ens,360,1.0,-1,0.06018745792871632,0.15437173318015796,0.38988652060073176,0.036696189400722286,0.3001846922148848
464,rff_lev_ens,3600,0.001,-1,0.2645479540498149,0.5279680845345952,0.5010680793006917,0.3838409258225638,0.2127464561547933
464,rff_lev_ens,3600,0.01,-1,0.18408349201764596,0.3230939826923383,0.5697521522489537,0.33128756182870983,0.1632159156254664
464,rff_lev_ens,3600,0.1,-1,0.0864230817743829,0.17072813683741359,0.5062029222323478,0.09748595849719188,0.2568773281979411
464,rff_lev_ens,3600,1.0,-1,0.06015786348257414,0.15444947197321435,0.3894986671952308,0.036989952222797336,0.30026432694179506
465,ff,6,0.0,0,0.29014891120958736,0.6712674482947524,0.4322404012687704,-0.8807177198542261,0.346848441019125
465,fm,6,0.0,0,0.27308498411377957,0.662316757697643,0.4123177934725408,-0.7882587794943573,0.3594288134700252
465,linrank,6,0.0,0,0.27152304364267893,0.6441503367803683,0.4215212321394134,-0.8409209364664411,0.33796821793993076
465,linrank,6,0.001,0,0.14418512547941625,0.5339287854347896,0.2700456117232998,-0.698320509330259,0.4098589329885948
465,linrank,6,0.01,0,0.03693458151670304,0.32153455918748075,0.11486970983783794,-0.3881635955334167,0.42323935865233836
465,linrank,6,0.1,0,-0.005179460382205475,0.0948179592170401,-0.054625309645713764,-0.08699738188619596,0.4117360785863888
465,linrank,6,1.0,0,-0.0011737468513527756,0.013679459232745411,-0.08580360022880885,-0.010312452992469653,0.3948958846113197
465,rff,36,0.001,0,0.17350491844101285,0.6307397935289055,0.27508161086567223,-0.433572071346303,0.47328669260412576
465,rff,36,0.01,0,0.10878449226354578,0.37405088274781356,0.29082805917848525,-0.3815170350939851,0.32653902973640725
465,rff,36,0.1,0,0.09172245417053486,0.2686877840791706,0.3413718806937209,-0.17860726504170557,0.28952111119341395
465,rff,36,1.0,0,0.08718657723639778,0.2391123393164297,0.3646260058583563,-0.08999977321191568,0.28276294121282103
465,rff,360,0.001,0,0.014198085073609356,0.5424420620049377,0.02617438076452138,-0.22542676696299194,0.6584086917267503
465,rff,360,0.01,0,0.07790023297506167,0.3333294456696026,0.23370342460616778,-0.2673481562660757,0.3537363853198928
465,rff,360,0.1,0,0.08519984351477344,0.25615988589783734,0.3326041593754971,-0.13149996379445428,0.2948370990706309
465,rff,360,1.0,0,0.08642874122168766,0.23773500640244485,0.36355075564840683,-0.08247405338474435,0.2834902637570035
465,rff,3600,0.001,0,-0.030254748010173388,0.5313875495086934,-0.05693537238150595,0.07168211633242909,0.7361574591924026
