model,tag,seed,eval_months,sr_ew,sr_max_eval,sr_orth,ew_share_of_srmax,ew_mu_min,dkkm_top_kappa,dkkm_at_top_min,dkkm_at_top_max,dkkm_best,lin_best,linrank_k0
bgn_gam,g0235f,4,125,0.11676961192459748,0.19030160194242016,0.14339165333796985,0.6136028847509578,0.0032109851506538687,1.0,0.1174193804848678,0.1181713965138402,0.1244281644577029,0.1177773469760518,0.1031550287092103
bgn_gam,g0235f,5,125,0.11912485969720188,0.1714987308064007,0.1208455953854937,0.6946107364005978,0.003445213798433543,1.0,0.1184820488412175,0.1191295944982182,0.1191295944982182,0.089594990347311,0.0726407929480633
bgn_gam,g0235f,6,125,0.12901426570526592,0.23587933691153687,0.18600294077769539,0.5469502644636094,0.0027898818733663347,1.0,0.1349493889674673,0.1446656795224195,0.1629565060713606,0.1479208384023056,0.1279069423880885
bgn_gam,g0235f,7,125,0.15155151880258574,0.24296678846933317,0.18780200460790156,0.6237540519728865,0.003524801218882203,1.0,0.1516788600579937,0.1520785749230633,0.1520785749230633,0.1018145053049864,0.0466640297480069
bgn_gam,g0235f,8,125,0.11002808893768873,0.18553024949387747,0.142575284671035,0.5930466284492313,0.0031227196790277957,1.0,0.1108487515781342,0.112018680831814,0.1128978383728021,0.099873202694942,0.0534434933155967
bgn_gam,g0235f,9,125,0.1173835497115697,0.1693465066447833,0.1208174429587614,0.6931560150679121,0.003605595910921693,1.0,0.1172472379546074,0.1174755509033061,0.1181462557018157,0.1100097021094641,0.1100097021094641
bgn_gam,g0235s,0,125,0.06433633007086331,0.07859343186280096,0.04485126550186881,0.8185967776947825,0.003581409602891654,1.0,0.0469813824258087,0.0483741677518102,0.0483741677518102,0.0411311667053848,-0.0041099190437048
bgn_gam,g0235s,1,125,0.07767563892638495,0.09754937486002098,0.05819445284989065,0.7962699816154234,0.0033544495087116954,1.0,0.0767331833839606,0.077558026322358,0.077558026322358,0.0482799495020597,0.0174599007335931
bgn_gam,g0235s,2,125,0.06684841909639529,0.4094927258991701,0.3976520365217551,0.16324690249285517,0.0028234418946293466,1.0,0.0833632257268808,0.1306017251074257,0.1824080399859614,0.1715160949889701,0.1152794927361153
bgn_gam,g0235s,3,125,0.041860154612309984,0.05054207402023435,0.028315678811982374,0.8282239188591947,0.003537307840306312,1.0,0.0415016976676928,0.0418325026892134,0.0423253546648768,0.0328619865343579,0.0309907380439375
bgn_gam,g0235s,4,125,0.04195310242567929,0.049257981233304375,0.025785996975857255,0.8517016202303049,0.0034639481282792988,1.0,0.0419452384598053,0.0419577408385349,0.0419577408385349,0.024362668891998,0.0127653193694939
bgn_gam,g0235s,5,125,0.04272320423142185,0.049357832457361445,0.02465914415344162,0.8655810456897388,0.003045788074843586,1.0,0.0425462163788498,0.0427479076156655,0.0428945048326639,0.0248088754402142,0.0054753591169467
bgn_gam,g0235s,6,125,0.04405034968076877,0.0507760932855152,0.02515740776140373,0.8675411365949836,0.0034322327258996667,1.0,0.0425955150387642,0.0440008209658759,0.0440008209658759,0.0098027086579042,-0.0014454374875166
bgn_gam,g0235s,7,125,0.05169343282357825,0.06149253333115699,0.03300438517092827,0.8406456853093457,0.0033176838671788575,1.0,0.0515598083484218,0.0516393081423286,0.0516393081423286,0.0110148135157823,-0.0093949222916606
bgn_gam,g0235s,8,125,0.04244952058659731,0.0494671279595427,0.0253840448825195,0.858135944769528,0.0035731039759702974,1.0,0.0422314751670174,0.042394571433046,0.042394571433046,0.0317201491135051,0.014448997387688
bgn_gam,g0235s,9,125,0.04269460552470183,0.049086296902120796,0.024177363613376843,0.8697866455445977,0.0031964498506858946,1.0,0.0423452183512888,0.0427340084790058,0.042768034778364,0.040778414853187,0.0187403760114108
bgn_gam,g0235r,0,125,0.04776180740977441,0.05705788771287666,0.031192069538354066,0.8370763329010454,0.003373749418184162,1.0,0.003709937484214,0.0038309133421172,0.0040024804913378,-0.0004234982862738,-0.0075238544073921
bgn_gam,g0235r,1,125,0.05478094379518511,0.06612428632673863,0.036882393817826396,0.8284542161180707,0.0031260706642642615,1.0,0.0544767459759078,0.0546949025446189,0.0546949025446189,0.0171534888646864,-0.0094972338477965
bgn_gam,g0235r,2,125,0.04736910289158076,0.054550725916794746,0.027031786818007005,0.8683496341337787,0.00302077349787578,1.0,0.047353404410477,0.0473727484072042,0.0473923156206876,0.0095551106151168,0.0048123936889306
bgn_gam,g0235r,3,125,0.0455013864126697,0.05441100099888778,0.029822316100711687,0.8362534336319194,0.0033322324259206656,1.0,0.0453093984315025,0.045461810948108,0.045461810948108,0.0322796179716301,0.0322796179716301
bgn_gam,g0235r,4,125,0.045745414496852495,0.054331056684419496,0.029288956637029063,0.8419754241586634,0.0032564963344484574,1.0,0.0456870589233388,0.0457387909476456,0.0457387909476456,0.0200294369316976,0.0183538986671916
bgn_gam,g0235r,5,125,0.0466986513244259,0.05484875872451048,0.028707428390380475,0.8514076236251722,0.0028920975923538207,1.0,0.0339305535364098,0.0341095424073495,0.0341095424073495,-0.0024949806017812,-0.0032632705099446
bgn_gam,g0235r,6,125,0.04556350413933806,0.05459899340628791,0.03006124727703928,0.8345117976861955,0.003351059472654015,1.0,0.0057853471491203,0.0062880263387003,0.0062880263387003,-0.0025476958352959,-0.0108763997231916
bgn_gam,g0235r,7,125,0.04624785393518757,0.05451761325289874,0.028822603474892475,0.8483103198346369,0.0031435843911021945,1.0,-0.0195692080905188,-0.0192057222414026,-0.0121761256279616,-0.0013199597801389,-0.0096787951804933
bgn_gam,g0235r,8,125,0.04562247719155681,0.05399011022965763,0.028857310661289014,0.845015448153237,0.003374015440233052,1.0,0.0454009876038918,0.0455527583194609,0.0455527583194609,0.0117205180555045,-0.0006183225680284
bgn_gam,g0235r,9,125,0.04674214047210774,0.05459821758286907,0.028165330746627474,0.8561111065789394,0.003014568390324712,1.0,0.046726146593293,0.0467486605298586,0.046821392598675,0.0248849292330673,0.0217707494141857
gs_bx,g28,0,125,0.2946533022147658,0.3055495758909199,0.07938184727799584,0.9643387700854017,0.002868792882744005,10.0,0.294774664903989,0.2949065647875792,0.2961015289663308,0.2841843858009277,0.2765286901013751
gs_bx,g28,1,125,0.27581778608558954,0.28635014175782963,0.07446739974388603,0.9632186119846678,0.000826600226763712,10.0,0.2762631212602755,0.2767599529484271,0.2813523960730845,0.2551997347164981,0.2547631767204515
gs_bx,g28,2,125,0.3152878158440529,0.3325000565384569,0.10301395751130206,0.948233871375558,0.002786445992321453,10.0,0.3146921175815972,0.3149668131350668,0.3149668131350668,0.2752669788343175,0.2752669788343175
gs_bx,g28,3,125,0.2312506135739154,0.23710801345935015,0.05104437834432589,0.9752964912489601,0.000697329996206287,10.0,0.2314564647425103,0.2317901425844205,0.23521444165106,0.2274095788409431,0.2194737885299797
gs_bx,g28,4,125,0.33718797061886696,0.35748002050707456,0.11784368859156043,0.9432358489310145,0.0026315429262026685,10.0,0.3371962038371924,0.3376201770608289,0.339617269623821,0.3089491819045797,0.3089491819045797
gs_bx,g28,5,125,0.26527816705063145,0.2746042991308299,0.06864622763375432,0.9660379239883816,0.0013428954544634874,10.0,0.2641956219754041,0.2647526430963868,0.2647526430963868,0.2386481047780158,0.2124078021194419
gs_bx,g28,6,125,0.31174073050043144,0.32635793596765955,0.09466036621570365,0.9552111229534292,0.0015390545173402108,10.0,0.3126847739627281,0.3130366400147213,0.3202518229578648,0.2743792508927483,0.2312201253797894
gs_bx,g28,7,125,0.33648274003534523,0.3607792534475672,0.12982128649347702,0.9326554584831385,0.0024885208524831736,10.0,0.3367096662112388,0.3370271034819925,0.3385679709667543,0.2976987307508015,0.2745624821323075
gs_bx,g28,8,125,0.31732498577095863,0.33643515664370854,0.10923237464780487,0.9431980561621628,0.0023287568348781705,10.0,0.3181309453452507,0.3186753689913994,0.3243760154960532,0.2841141530377955,0.2841141530377955
gs_bx,g28,9,125,0.25851170425001196,0.26965490054390606,0.07422940394988785,0.958676084612526,0.0007203948570017508,10.0,0.2582090802899856,0.2587301124102266,0.2600657016804991,0.2463898055466132,0.2222933944644108
gs_bx,gx7,0,125,0.3882172084160313,0.39224598205466177,0.054438778859127984,0.9897289613585665,0.009475510481175656,10.0,0.3880938060190018,0.3882299786670485,0.3882299786670485,0.3701056706638779,0.3576896186064496
gs_bx,gx7,1,125,0.3802525517081261,0.38586407510184006,0.06136169696836885,0.985457253587982,0.0025130981543602855,10.0,0.380530328324363,0.3808108957260312,0.3815368604577511,0.3516065647766817,0.3516065647766817
gs_bx,gx7,2,125,0.4878217187232106,0.4987882630917134,0.09918472309384298,0.9780136278658057,0.009609566377222883,10.0,0.488140986718155,0.4887640877740589,0.4898730945861855,0.4494016135607343,0.3593853111261555
gs_bx,gx7,3,125,0.28566736593181313,0.28779893839357834,0.03391083439145106,0.9925935360510254,0.0020174695847258984,10.0,0.2857355684661595,0.2858141886479278,0.2864421604889873,0.2733066247205248,0.2733066247205248
gs_bx,gx7,4,125,0.5515299392211225,0.5662649158836642,0.12494981537423416,0.9739786516006423,0.00902114435607913,10.0,0.5504613156576189,0.5512188803502768,0.5512188803502768,0.5289192823155484,0.4314056775648664
gs_bx,gx7,5,125,0.35765609016194666,0.3622177929759575,0.05386822990909023,0.9874061879276217,0.004147584983432303,10.0,0.3567264910808848,0.3574675177292493,0.3574675177292493,0.3465357222038164,0.3044901830856766
gs_bx,gx7,6,125,0.45489511722471765,0.462268852270463,0.07986775216638407,0.9840488170260039,0.004776337471011343,10.0,0.4550773557922655,0.4552314726104099,0.4566058979810268,0.4312306303765191,0.3611553568179627
