method,P,kappa,sharpe,hjd,real_sr,t_vs_fm
rff_ens,3600,0.3,0.23367302419143832,0.16418365668572005,0.3136024159050858,8.65379271178786
rff_ens,3600,1.0,0.23018521772267897,0.16565961689629252,0.3028655253359859,5.602007185209395
rff_ens,3600,3.0,0.2284132242570029,0.16729528801890725,0.2969277635884861,4.289897910079461
rff_ens,3600,10.0,0.22763043049115586,0.1681209567686864,0.29428086431969236,3.7633146044993167
rff_lev,36,0.001,0.18911634056292778,0.31246455117742095,0.3396688231969618,-5.63073140032797
rff_lev,36,0.01,0.21624688349439747,0.2265639249203926,0.3277527443317145,-1.8994360533555872
rff_lev,36,0.03,0.22696415473435066,0.19393468254675753,0.3203398815171311,3.6043524403955924
rff_lev,36,0.1,0.23056784882225367,0.17321444860512522,0.31438678572817774,6.636661549936906
rff_lev,36,0.3,0.22980379792072542,0.16780870070611453,0.305959104800047,5.691880226739366
rff_lev,36,1.0,0.2283706348427446,0.16771168443864604,0.29857067506446505,4.361008554137389
rff_lev,36,3.0,0.22767923110497384,0.16817114715848036,0.29543913477724815,3.825373294925636
rff_lev,36,10.0,0.22739184876752072,0.1684109859231296,0.2941858753769746,3.616923993346795
rff_lev,360,0.001,0.17695302126013585,0.3228514156796903,0.3698847964079165,-8.756551666546628
rff_lev,360,0.01,0.2189289576407166,0.21685347075062023,0.336667978222728,-0.9348099651712886
rff_lev,360,0.03,0.22885710753130742,0.18930458614691278,0.32333769621492325,5.1975782587286465
rff_lev,360,0.1,0.23180006511361398,0.17151831397931966,0.3177352501340041,7.760817434120999
rff_lev,360,0.3,0.23066199739106158,0.1669131279427246,0.30920196699111313,6.299561606250427
rff_lev,360,1.0,0.2288007205287613,0.1672318917903188,0.3002825246475427,4.6294930794937255
rff_lev,360,3.0,0.22785397455564282,0.16796705381392874,0.29613166275237285,3.9295952819512148
rff_lev,360,10.0,0.22744845392697108,0.16834366762842515,0.29440917690261265,3.650108405443164
rff_lev,3600,0.001,0.18930888254251482,0.30914143736801614,0.38020128972571854,-6.392649775923828
rff_lev,3600,0.01,0.22155728167657243,0.21370635896692058,0.33519853799633526,0.30622725357672137
rff_lev,3600,0.03,0.230247366062666,0.18859393518510875,0.3231265930502689,5.95433578211785
rff_lev,3600,0.1,0.23240692360682016,0.1718133092450982,0.3188156789480998,8.193235535514926
rff_lev,3600,0.3,0.23098497348862318,0.16692219295084995,0.3104209023247997,6.561921704655007
rff_lev,3600,1.0,0.2289454397664493,0.1671365279347742,0.30090857829541345,4.7324066880023
rff_lev,3600,3.0,0.2279107211535721,0.16791562961405432,0.2963793306666222,3.9673044873991796
rff_lev,3600,10.0,0.227466596132595,0.16832561127430723,0.29448824062170803,3.661844017769213
rff_lev_ens,36,0.001,0.20284393624365754,0.2766242059613588,0.3678549479729754,-3.3268561679256927
rff_lev_ens,36,0.01,0.22182277734051825,0.21422635778564741,0.3376280376723139,0.420367028781341
rff_lev_ens,36,0.03,0.22917427891716685,0.1890230894695913,0.3240022872946305,4.679153021628865
rff_lev_ens,36,0.1,0.231074723148159,0.1719431861814232,0.31485369527713786,6.939215065592475
rff_lev_ens,36,0.3,0.22989896150138248,0.16755461717240486,0.30555161831653677,5.747038883478849
rff_lev_ens,36,1.0,0.22838187408449837,0.16768088466947859,0.2979943525728062,4.367101365012481
rff_lev_ens,36,3.0,0.2276806057851336,0.16816735560205953,0.2948481486413015,3.826101232395434
rff_lev_ens,36,10.0,0.2273919771144484,0.16841063128009873,0.2935948114330332,3.616991386065143
rff_lev_ens,360,0.001,0.1817666870517146,0.3095638917631157,0.384902250150122,-7.781560619713981
rff_lev_ens,360,0.01,0.21991599688864671,0.2152043063696798,0.3376673521149769,-0.4510939243953927
rff_lev_ens,360,0.03,0.22910208295920764,0.18881454744157292,0.3231088214051065,5.3104426905109205
rff_lev_ens,360,0.1,0.23183859996091485,0.1714189034793058,0.31717369877837664,7.783280016866333
rff_lev_ens,360,0.3,0.23066835318349438,0.16689455967397215,0.308593372354174,6.303370406884941
rff_lev_ens,360,1.0,0.22880147736001977,0.1672295999347762,0.2996803970417419,4.629910043322529
rff_lev_ens,360,3.0,0.22785406909608336,0.16796676708747224,0.29553659802640553,3.9296457266621476
rff_lev_ens,360,10.0,0.22744846284697456,0.16834364061404553,0.29381741534363587,3.6501131114800045
rff_lev_ens,3600,0.001,0.1901396421332502,0.30699962434383,0.3811710756903413,-6.223864056818172
rff_lev_ens,3600,0.01,0.2216713325803165,0.21347157606085565,0.3347371951551506,0.35552809963433213
rff_lev_ens,3600,0.03,0.2302818466502683,0.18851972104673054,0.32253841345034157,5.970911760928886
rff_lev_ens,3600,0.1,0.23241358831060774,0.17179644215179168,0.3181876925070691,8.197202076802617
rff_lev_ens,3600,0.3,0.23098635134710205,0.1669185470155057,0.3097995945905137,6.562762308310897
rff_lev_ens,3600,1.0,0.22894563650260547,0.16713602735811572,0.30030408665465097,4.732517831204277
rff_lev_ens,3600,3.0,0.22791074752682736,0.16791556462294446,0.2957836373585767,3.9673189173947483
rff_lev_ens,3600,10.0,0.22746659868868124,0.16832560506863115,0.2938963080907204,3.6618453997379414
