,eps,G_up,G_down
261,1.3136936936936938,94530.70468519485,80618.27369037778
262,1.3186886886886888,94650.84546388447,80656.7067262917
263,1.3236836836836838,94771.72785210692,80695.32869414843
264,1.3286786786786788,94893.35627114493,80734.14059635745
265,1.3336736736736738,95015.73516498297,80773.14344015767
266,1.3386686686686688,95138.86900038463,80812.33823763227
267,1.3436636636636636,95262.76226697053,80851.72600572373
268,1.3486586586586586,95387.41947729675,80891.30776624903
269,1.3536536536536536,95512.84516693374,80931.08454591474
270,1.3586486486486486,95639.04389454586,80971.05737633258
271,1.3636436436436437,95766.02024197123,81011.22729403473
272,1.3686386386386387,95893.77881430229,81051.59534048966
273,1.3736336336336337,96022.3242399666,81092.16256211759
274,1.3786286286286287,96151.66117080819,81132.93001030639
275,1.3836236236236237,96281.79428216936,81173.89874142755
276,1.3886186186186187,96412.72827297298,81215.0698168521
277,1.3936136136136137,96544.46786580508,81256.44430296683
278,1.3986086086086087,96677.01780699806,81298.02327119038
279,1.4036036036036037,96810.38286671403,81339.80779798958
280,1.4085985985985987,96944.56783902874,81381.79896489583
281,1.4135935935935937,97079.57754201604,81423.99785852167
282,1.4185885885885887,97215.41681783248,81466.40557057729
283,1.4235835835835837,97352.09053280231,81509.02319788713
284,1.4285785785785787,97489.60357750308,81551.85184240673
285,1.4335735735735737,97627.96086685135,81594.8926112395
286,1.4385685685685687,97767.16734018899,81638.14661665366
287,1.4435635635635637,97907.22796136964,81681.6149760992
288,1.4485585585585585,98048.14771884574,81725.298812225
289,1.4535535535535535,98189.93162575558,81769.19925289592
290,1.4585485485485485,98332.58472001117,81813.31743121013
291,1.4635435435435435,98476.11206438598,81857.65448551628
292,1.4685385385385386,98620.51874660332,81902.21155943097
293,1.4735335335335336,98765.80987942498,81946.98980185624
294,1.4785285285285286,98911.99060074009,81991.99036699702
295,1.4835235235235236,99059.06607365434,82037.21441437867
296,1.4885185185185186,99207.04148657974,82082.66310886483
297,1.4935135135135136,99355.92205332442,82128.33762067505
298,1.4985085085085086,99505.71301318283,82174.23912540262
299,1.5035035035035036,99656.41963102629,82220.36880403238
300,1.5084984984984986,99808.0471973938,82266.72784295875
301,1.5134934934934936,99960.60102858317,82313.31743400372
302,1.5184884884884886,100114.08646674259,82360.13877443496
303,1.5234834834834836,100268.50887996217,82407.19306698392
304,1.5284784784784786,100423.8736623661,82454.48151986398
305,1.5334734734734736,100580.18623420491,82502.00534678886
306,1.5384684684684686,100737.45204194808,82549.76576699082
307,1.5434634634634636,100895.67655837709,82597.76400523915
308,1.5484584584584586,101054.8652826784,82646.00129185857
309,1.5534534534534536,101215.02374053706,82694.47886274781
310,1.5584484484484484,101376.15748423044,82743.19795939812
311,1.5634434434434434,101538.27209272224,82792.15982891194
312,1.5684384384384384,101701.3731717569,82841.36572402164
313,1.5734334334334334,101865.4663539541,82890.81690310822
314,1.5784284284284285,102030.55729890364,82940.51463022016
315,1.5834234234234235,102196.65169326063,82990.4601750923
316,1.5884184184184185,102363.75525084086,83040.65481316473
317,1.5934134134134135,102531.87371271658,83091.09982560188
318,1.5984084084084085,102701.01284731238,83141.79649931147
319,1.6034034034034035,102871.17845050141,83192.74612696368
320,1.6083983983983985,103042.37634570186,83243.95000701025
321,1.6133933933933935,103214.61238397387,83295.40944370377
322,1.6183883883883885,103387.89244411635,83347.12574711691
323,1.6233833833833835,103562.22243276442,83399.1002331618
324,1.6283783783783785,103737.60828448692,83451.33422360937
325,1.6333733733733735,103914.0559618841,83503.82904610875
326,1.6383683683683685,104091.57145568592,83556.58603420683
327,1.6433633633633635,104270.16078485022,83609.60652736787
328,1.6483583583583585,104449.8299966613,83662.89187099291
329,1.6533533533533535,104630.58516682894,83716.44341643965
330,1.6583483483483485,104812.43239958725,83770.26252104195
331,1.6633433433433433,104995.37782779433,83824.3505481298
332,1.6683383383383383,105179.4276130316,83878.70886704898
333,1.6733333333333333,105364.58794570385,83933.33885318093
334,1.6783283283283283,105550.86504513933,83988.24188796281
335,1.6833233233233234,105738.26515969011,84043.41935890731
336,1.6883183183183184,105926.7945668327,84098.87265962281
337,1.6933133133133134,106116.45957326898,84154.60318983332
338,1.6983083083083084,106307.26651502735,84210.61235539877
339,1.7033033033033034,106499.22175756407,84266.90156833509
340,1.7082982982982984,106692.33169586485,84323.47224683438
341,1.7132932932932934,106886.60275454687,84380.32581528535
342,1.7182882882882884,107082.04138796088,84437.4637042936
343,1.7232832832832834,107278.65408029353,84494.8873507019
344,1.7282782782782784,107476.44734567002,84552.59819761076
345,1.7332732732732734,107675.42772825705,84610.59769439885
346,1.7382682682682684,107875.6018023659,84668.88729674357
347,1.7432632632632634,108076.97617255582,84727.46846664161
348,1.7482582582582584,108279.55747373767,84786.34267242959
349,1.7532532532532534,108483.35237127784,84845.51138880478
350,1.7582482482482484,108688.36756110226,84904.97609684576
351,1.7632432432432434,108894.60976980084,84964.73828403332
352,1.7682382382382384,109102.08575473215,85024.79944427124
353,1.7732332332332332,109310.8023041282,85085.16107790713
354,1.7782282282282282,109520.76623719957,85145.8246917535
355,1.7832232232232232,109731.9844042407,85206.79179910854
356,1.7882182182182182,109944.46368673569,85268.06391977741
357,1.7932132132132133,110158.21099746392,85329.64258009315
358,1.7982082082082083,110373.23328060625,85391.52931293781
359,1.8032032032032033,110589.53751185135,85453.72565776376
360,1.8081981981981983,110807.13069850227,85516.2331606148
361,1.8131931931931933,111026.01987958327,85579.05337414752
362,1.8181881881881883,111246.21212594687,85642.18785765259
363,1.8231831831831833,111467.71454038122,85705.63817707618
364,1.8281781781781783,111690.53425771756,85769.40590504132
365,1.8331731731731733,111914.67844493814,85833.49262086945
366,1.8381681681681683,112140.15430128413,85897.89991060189
367,1.8431631631631633,112366.96905836409,85962.6293670215
368,1.8481581581581583,112595.12998026237,86027.68258967424
369,1.8531531531531533,112824.6443636479,86093.06118489083
370,1.8581481481481483,113055.51953788323,86158.76676580851
371,1.8631431431431433,113287.76286513382,86224.80095239279
372,1.8681381381381383,113521.38174047758,86291.1653714593
373,1.8731331331331333,113756.38359201446,86357.8616566956
374,1.8781281281281281,113992.77588097668,86424.89144868319
375,1.8831231231231231,114230.56610183878,86492.25639491933
376,1.8881181181181181,114469.76178242819,86559.9581498392
377,1.8931131131131131,114710.37048403599,86627.99837483793
378,1.8981081081081081,114952.3998015278,86696.37873829262
379,1.9031031031031032,115195.85736345503,86765.1009155846
380,1.9080980980980982,115440.75083216632,86834.16658912152
381,1.9130930930930932,115687.08790391931,86903.57744835978
382,1.9180880880880882,115934.8763089925,86973.33518982668
383,1.9230830830830832,116184.12381179754,87043.44151714287
384,1.9280780780780782,116434.83821099154,87113.89814104463
385,1.9330730730730732,116687.02733958981,87184.70677940644
386,1.9380680680680682,116940.69906507878,87255.8691572634
387,1.9430630630630632,117195.86128952923,87327.38700683386
388,1.9480580580580582,117452.52194970957,87399.2620675419
389,1.9530530530530532,117710.68901719956,87471.49608604005
390,1.9580480480480482,117970.37049850423,87544.09081623194
391,1.9630430430430432,118231.57443516796,87617.04801929505
392,1.9680380380380382,118494.30890388893,87690.36946370351
393,1.9730330330330332,118758.5820166337,87764.05692525094
394,1.9780280280280282,119024.40192075212,87838.11218707326
395,1.983023023023023,119291.77679909237,87912.53703967169
396,1.988018018018018,119560.71487011647,87987.33328093574
397,1.993013013013013,119831.22438801569,88062.50271616614
398,1.998008008008008,120103.3136428266,88138.04715809805
399,2.003003003003003,120376.99096054706,88213.96842692408
