model,tag,seed,window,source,dkkm,dkkm_method,lin,fair_lin,fair_method,mkt_est,ew,linrank_m,linlev_m,orig_drift,prov_lin,gap,fair_gap,fair_gap_pct_fair_lin
bgn_gam,g0235f,1,360,E1 re-score,0.2150868649685329,rff_ens,0.1729700908502332,0.2072477557470476,linrank_m,0.1527362829038634,0.1527362829038634,0.2072477557470476,0.1423368569256959,0.0,bgn_gam_estimators_g0235f_s001_w360_summary@fef5802+dirty,0.0421167741182997,0.007839109221485313,3.782482079590378
bgn_gam,g0235f,2,360,E1 re-score,0.1078370631021969,rff_ens,0.0911174318107902,0.104585716044238,linrank_m,0.1045180956319763,0.1045180956319763,0.104585716044238,0.1000451343080086,0.0,bgn_gam_estimators_g0235f_s002_w360_summary@fef5802+dirty,0.016719631291406703,0.0032513470579589032,3.108786917501849
bgn_gam,g0235f,3,360,E1 re-score,0.0991368139892738,rff_lev_ens,0.0939679200476941,0.0980561570933205,linrank_m,0.0979539110888681,0.0979539110888681,0.0980561570933205,0.0845906967317882,0.0,bgn_gam_estimators_g0235f_s003_w360_summary@fef5802+dirty,0.005168893941579711,0.0010806568959533108,1.1020795919269453
bgn_gam,g0235f,4,360,E1 re-score,0.1244281644577029,rff_lev_ens,0.1177773469760518,0.1236343357907441,linrank_m,0.1167696119245974,0.1167696119245974,0.1236343357907441,0.1167902745403975,0.0,bgn_gam_estimators_g0235f_s004_w360_summary@fef5802+dirty,0.006650817481651097,0.000793828666958804,0.6420778353210793
bgn_gam,g0235f,5,360,E1 re-score,0.1191295944982182,rff_lev_ens,0.089594990347311,0.1191248596972018,mkt_est,0.1191248596972018,0.1191248596972018,0.119117522606075,0.1190704051552987,0.0,bgn_gam_estimators_g0235f_s005_w360_summary@fef5802+dirty,0.029534604150907195,4.734801016398338e-06,0.003974654012968845
bgn_gam,g0235f,6,360,E1 re-score,0.1629565060713606,rff_ens,0.1479208384023056,0.1554433094927039,linrank_m,0.1290142657052659,0.1290142657052659,0.1554433094927039,0.1402026789782866,0.0,bgn_gam_estimators_g0235f_s006_w360_summary@fef5802+dirty,0.015035667669055008,0.007513196578656706,4.833399779750157
bgn_gam,g0235f,7,360,E1 re-score,0.1520785749230633,rff_ens,0.1018145053049864,0.1515515188025857,mkt_est,0.1515515188025857,0.1515515188025857,0.1515486916445861,0.1511631634435563,0.0,bgn_gam_estimators_g0235f_s007_w360_summary@fef5802+dirty,0.05026406961807689,0.0005270561204775981,0.3477735654791773
bgn_gam,g0235f,8,360,E1 re-score,0.1128978383728021,rff_lev_ens,0.099873202694942,0.1119553558390624,linrank_m,0.1100280889376887,0.1100280889376887,0.1119553558390624,0.1101086521936971,0.0,bgn_gam_estimators_g0235f_s008_w360_summary@fef5802+dirty,0.013024635677860094,0.0009424825337396997,0.841837826047852
bgn_gam,g0235f,9,360,E1 re-score,0.1181462557018157,rff_lev_ens,0.1100097021094641,0.1173835497115697,mkt_est,0.1173835497115697,0.1173835497115697,0.1173817133747,0.1173021546896517,0.0,bgn_gam_estimators_g0235f_s009_w360_summary@fef5802+dirty,0.00813655359235159,0.0007627059902459987,0.6497554317620231
bgn_gam,g0235r,0,360,E1 re-score,0.0040024804913378,rff_lev_ens,-0.0004234982862741,0.0040411591431514,linrank_m,0.0036428845841935,0.0477618074097744,0.0040411591431514,-0.0021327945885065,2.999987411267391e-16,bgn_gam_estimators_g0235r_s000_w360_summary@fef5802+dirty,0.004425978777611901,-3.8678651813599946e-05,-0.9571177586299493
bgn_gam,g0235r,1,360,E1 re-score,0.0546949025446189,rff_lev_ens,0.0171534888646864,0.0547809437951851,mkt_est,0.0547809437951851,0.0547809437951851,0.0547767326551591,0.0039579801855416,7.259991219310535e-14,bgn_gam_estimators_g0235r_s001_w360_summary@fef5802+dirty,0.0375414136799325,-8.604125056619477e-05,-0.15706419898110127
bgn_gam,g0235r,2,360,E1 re-score,0.0473923156206876,rff_lev_ens,0.0095551106151168,0.0473691028915807,mkt_est,0.0473691028915807,0.0473691028915807,0.0473685890431316,-0.0263021859560857,2.0799334476961917e-14,bgn_gam_estimators_g0235r_s002_w360_summary@fef5802+dirty,0.037837205005570806,2.3212729106901475e-05,0.0490039449554939
bgn_gam,g0235r,3,360,E1 re-score,0.045461810948108,rff_lev_ens,0.0322796179716314,0.0455013864126697,mkt_est,0.0455013864126697,0.0455013864126697,0.0454967262319215,0.0433782513121121,1.0563980246125482e-12,bgn_gam_estimators_g0235r_s003_w360_summary@fef5802+dirty,0.013182192976476603,-3.9575464561701634e-05,-0.08697639276917062
bgn_gam,g0235r,4,360,E1 re-score,0.0457387909476456,rff_lev_ens,0.0200294369316979,0.045784670421586,linlev_m,0.0457454144968525,0.0457454144968525,0.0457438726001272,0.045784670421586,7.680999933312727e-13,bgn_gam_estimators_g0235r_s004_w360_summary@fef5802+dirty,0.0257093540159477,-4.5879473940399484e-05,-0.10020706388828517
bgn_gam,g0235r,5,360,E1 re-score,0.0341095424073495,rff,-0.0024949806017812,0.0340919700760363,linrank_m,0.0338857625859242,0.0466986513244259,0.0340919700760363,0.0275550703826693,8.500145032286355e-15,bgn_gam_estimators_g0235r_s005_w360_summary@fef5802+dirty,0.0366045230091307,1.757233131319952e-05,0.05154390102422196
bgn_gam,g0235r,6,360,E1 re-score,0.0062880263387003,rff_ens,-0.0025476958352959,0.0087098815873158,linrank_m,0.0086833693005511,0.045563504139338,0.0087098815873158,-0.0175477809665122,5.209721543053547e-14,bgn_gam_estimators_g0235r_s006_w360_summary@fef5802+dirty,0.0088357221739962,-0.0024218552486154994,-27.805834377156714
bgn_gam,g0235r,7,360,E1 re-score,-0.0121761256279616,rff_lev,-0.0013199597801389,0.0097703706711923,linlev_m,-0.0196167956350935,0.0462478539351875,-0.0096787951804933,0.0097703706711923,9.974659986866641e-17,bgn_gam_estimators_g0235r_s007_w360_summary@fef5802+dirty,-0.0108561658478227,-0.0219464962991539,-224.62296506173104
bgn_gam,g0235r,8,360,E1 re-score,0.0455527583194609,rff_lev_ens,0.0117205180555046,0.0456224771915568,mkt_est,0.0456224771915568,0.0456224771915568,0.0456173719747156,0.0456161557094737,9.659981148324448e-14,bgn_gam_estimators_g0235r_s008_w360_summary@fef5802+dirty,0.0338322402639563,-6.971887209589883e-05,-0.15281693671119084
bgn_gam,g0235r,9,360,E1 re-score,0.046821392598675,rff_lev_ens,0.0248849292330672,0.0467656437067572,linlev_m,0.0467421404721077,0.0467421404721077,0.0467415069380149,0.0467656437067572,2.3510013380523276e-13,bgn_gam_estimators_g0235r_s009_w360_summary@fef5802+dirty,0.0219364633656078,5.57488919178048e-05,0.11920907636250413
bgn_gam,g0235s,0,360,E1 re-score,0.0483741677518102,rff_lev,0.0411311667053848,0.0478029165502973,linrank_m,0.0477349979888814,0.0643363300708633,0.0478029165502973,0.0316137891973719,0.0,bgn_gam_estimators_g0235s_s000_w360_summary@fef5802+dirty,0.007243001046425397,0.0005712512015128984,1.1950132810658927
bgn_gam,g0235s,1,360,E1 re-score,0.077558026322358,rff_lev_ens,0.0482799495020597,0.0776756389263849,mkt_est,0.0776756389263849,0.0776756389263849,0.0776559097774909,0.0263136285060451,3.400058012914542e-15,bgn_gam_estimators_g0235s_s001_w360_summary@fef5802+dirty,0.0292780768202983,-0.00011761260402690099,-0.15141504550527782
bgn_gam,g0235s,2,360,E1 re-score,0.1824080399859614,rff_lev_ens,0.1715160949889701,0.1715160949889701,linrank,0.0668484190963953,0.0668484190963953,0.1435045465644393,0.1706707175266834,0.0,bgn_gam_estimators_g0235s_s002_w360_summary@fef5802+dirty,0.010891944996991282,0.010891944996991282,6.350392362706091
bgn_gam,g0235s,3,360,E1 re-score,0.0423253546648768,rff_lev_ens,0.0328619865343579,0.0418601546123099,mkt_est,0.0418601546123099,0.0418601546123099,0.0418503277087918,0.039272100425225,2.3599178167188484e-14,bgn_gam_estimators_g0235s_s003_w360_summary@fef5802+dirty,0.009463368130518901,0.00046520005256690117,1.1113194800052144
bgn_gam,g0235s,4,360,E1 re-score,0.0419577408385349,rff_ens,0.024362668891998,0.0419624926114213,linlev_m,0.0419531024256792,0.0419531024256792,0.0419524943830693,0.0419624926114213,4.0072112295064244e-16,bgn_gam_estimators_g0235s_s004_w360_summary@fef5802+dirty,0.0175950719465369,-4.751772886397998e-06,-0.011323857546786118
bgn_gam,g0235s,5,360,E1 re-score,0.0428945048326639,rff_lev_ens,0.0248088754402142,0.0427232042314218,mkt_est,0.0427232042314218,0.0427232042314218,0.042717690220112,0.0413709789883815,0.0,bgn_gam_estimators_g0235s_s005_w360_summary@fef5802+dirty,0.018085629392449704,0.00017130060124210394,0.40095447971132475
bgn_gam,g0235s,6,360,E1 re-score,0.0440008209658759,rff_lev_ens,0.0098027086579042,0.0440503496807687,mkt_est,0.0440503496807687,0.0440503496807687,0.0440281102430403,0.0023100980589935,0.0,bgn_gam_estimators_g0235s_s006_w360_summary@fef5802+dirty,0.034198112307971706,-4.952871489279781e-05,-0.11243659869156686
bgn_gam,g0235s,7,360,E1 re-score,0.0516393081423286,rff_lev_ens,0.0110148135157823,0.0517442596930005,linrank_m,0.0516934328235782,0.0516934328235782,0.0517442596930005,0.0270847906468054,0.0,bgn_gam_estimators_g0235s_s007_w360_summary@fef5802+dirty,0.0406244946265463,-0.00010495155067189593,-0.20282742722492336
bgn_gam,g0235s,8,360,E1 re-score,0.042394571433046,rff_lev_ens,0.0317201491135051,0.0424495205865973,mkt_est,0.0424495205865973,0.0424495205865973,0.0424423386831474,0.0424401352178728,0.0,bgn_gam_estimators_g0235s_s008_w360_summary@fef5802+dirty,0.010674422319540904,-5.49491535513022e-05,-0.12944587545860634
bgn_gam,g0235s,9,360,E1 re-score,0.042768034778364,rff_lev_ens,0.040778414853187,0.0426946055247018,mkt_est,0.0426946055247018,0.0426946055247018,0.0426805669972525,0.0426884183607582,0.0,bgn_gam_estimators_g0235s_s009_w360_summary@fef5802+dirty,0.0019896199251770025,7.342925366220221e-05,0.17198719313548472
gs_bx,bx7,0,360,E1 re-score,0.314039539009676,rff_ens,0.3036889521424954,0.315697048644892,linrank_m,0.3063730293923059,0.3063730293923059,0.315697048644892,0.3132922183253988,5.684764881053184e-10,gs_bx_estimators_bx7_s000_w360_summary@fef5802+dirty,0.0103505868671806,-0.0016575096352159924,-0.5250317170625254
gs_bx,bx7,1,360,E1 re-score,0.2390222719311944,rff_ens,0.2291577384894034,0.2395132418924019,linrank_m,0.2367894564774522,0.2367894564774522,0.2395132418924019,0.2382331811640727,1.657556814027572e-09,gs_bx_estimators_bx7_s001_w360_summary@fef5802+dirty,0.009864533441791001,-0.0004909699612074825,-0.20498656246657299
gs_bx,bx7,2,360,E1 re-score,0.243871859081772,rff_ens,0.2376439866235535,0.2436121484578721,mkt_est,0.2436121484578721,0.2436121484578721,0.2436114961601231,0.2435671337151174,2.494842915590212e-09,gs_bx_estimators_bx7_s002_w360_summary@fef5802+dirty,0.006227872458218514,0.0002597106238999003,0.1066082400011394
gs_bx,bx7,3,360,E1 re-score,0.2189856423928655,rff_ens,0.2148379325091361,0.2196819064922386,linrank_m,0.2157094656074111,0.2157094656074111,0.2196819064922386,0.2160023882140471,3.8441830274571487e-10,gs_bx_estimators_bx7_s003_w360_summary@fef5802+dirty,0.004147709883729395,-0.0006962640993730951,-0.3169419414145945
gs_bx,bx7,4,360,E1 re-score,0.2424000391592926,rff_ens,0.2258563538461164,0.2423048947432515,linrank_m,0.2394956436063049,0.2394956436063049,0.2423048947432515,0.2400093795754261,4.2564610169826267e-10,gs_bx_estimators_bx7_s004_w360_summary@fef5802+dirty,0.016543685313176182,9.514441604108193e-05,0.03926640282768444
gs_bx,bx7,5,360,E1 re-score,0.2933316774319655,rff_ens,0.2817439629986932,0.2975093146142323,linrank_m,0.2898220157259161,0.2898220157259161,0.2975093146142323,0.2897605295754719,9.319900406978832e-11,gs_bx_estimators_bx7_s005_w360_summary@fef5802+dirty,0.011587714433272278,-0.004177637182266825,-1.40420382725959
gs_bx,bx7,6,360,E1 re-score,0.4047015197765515,rff_ens,0.403373728998232,0.4099108318661856,linrank_m,0.3989048010146808,0.3989048010146808,0.4099108318661856,0.4042250112144379,1.4631518219232476e-10,gs_bx_estimators_bx7_s006_w360_summary@fef5802+dirty,0.0013277907783195153,-0.005209312089634099,-1.2708403107860948
gs_bx,bx7,7,360,E1 re-score,0.2865635342551576,rff_lev_ens,0.2859208545377692,0.2884196645168959,linrank_m,0.2858544691139343,0.2858544691139343,0.2884196645168959,0.2876167615857152,3.924208180627886e-10,gs_bx_estimators_bx7_s007_w360_summary@fef5802+dirty,0.0006426797173884058,-0.0018561302617382536,-0.6435519106671451
gs_bx,bx7,8,360,E1 re-score,0.2828270172718591,rff_ens,0.2762210675238493,0.2831426884884614,linrank_m,0.2816414300424484,0.2816414300424484,0.2831426884884614,0.283077213946632,1.4892420630019387e-11,gs_bx_estimators_bx7_s008_w360_summary@fef5802+dirty,0.006605949748009821,-0.000315671216602309,-0.11148838710527861
gs_bx,bx7,9,360,E1 re-score,0.4385154779335063,rff_ens,0.4281999236395655,0.4331914612441636,linrank_m,0.4279292321685589,0.4279292321685589,0.4331914612441636,0.4276665656344407,1.3337941862090474e-11,gs_bx_estimators_bx7_s009_w360_summary@fef5802+dirty,0.01031555429394082,0.0053240166893427365,1.2290216141499413
gs_bx,g28,0,360,E1 re-score,0.2961015289663308,rff_lev_ens,0.2841843858009277,0.2988749838828829,linrank_m,0.2946533022147658,0.2946533022147658,0.2988749838828829,0.294652430259015,6.049383216577553e-11,gs_bx_estimators_g28_s000_w360_summary@fef5802+dirty,0.011917143165403099,-0.0027734549165521205,-0.9279648903766821
gs_bx,g28,1,360,E1 re-score,0.2813523960730845,rff_ens,0.2551997347164981,0.2831438216496398,linrank_m,0.2758177860855896,0.2758177860855896,0.2831438216496398,0.2828657146294649,1.0349971157896931e-09,gs_bx_estimators_g28_s001_w360_summary@fef5802+dirty,0.026152661356586393,-0.0017914255765553166,-0.6326910352901906
gs_bx,g28,2,360,E1 re-score,0.3149668131350668,rff_lev_ens,0.2752669788343175,0.3152878158440528,mkt_est,0.3152878158440528,0.3152878158440529,0.3152765231012863,0.3152023131035641,5.690179993855793e-10,gs_bx_estimators_g28_s002_w360_summary@fef5802+dirty,0.039699834300749304,-0.0003210027089859957,-0.10181259562049476
gs_bx,g28,3,360,E1 re-score,0.23521444165106,rff_ens,0.2274095788141754,0.2359434831174322,linrank_m,0.2312506135739153,0.2312506135739153,0.2359434831174322,0.2348700918824517,2.676769916831745e-11,gs_bx_estimators_g28_s003_w360_summary@fef5802+dirty,0.007804862836884613,-0.0007290414663722045,-0.3089898719556288
gs_bx,g28,4,360,E1 re-score,0.339617269623821,rff_ens,0.3089491819045797,0.3460665116844275,linrank_m,0.3371879706188669,0.3371879706188669,0.3460665116844275,0.3373294760203993,2.0492920138615034e-09,gs_bx_estimators_g28_s004_w360_summary@fef5802+dirty,0.030668087719241288,-0.006449242060606486,-1.8635845546614018
gs_bx,g28,5,360,E1 re-score,0.2647526430963868,rff_lev_ens,0.2386481047780158,0.2652781670506314,mkt_est,0.2652781670506314,0.2652781670506314,0.2652653962508507,0.2652080881617042,4.856139101949708e-10,gs_bx_estimators_g28_s005_w360_summary@fef5802+dirty,0.026104538318371007,-0.0005255239542446,-0.1981029800105252
gs_bx,g28,6,360,E1 re-score,0.3202518229578648,rff_lev_ens,0.2743792508927483,0.3242060031848094,linrank_m,0.3117407305004314,0.3117407305004313,0.3242060031848094,0.3237500632274256,9.39580080405733e-11,gs_bx_estimators_g28_s006_w360_summary@fef5802+dirty,0.045872572065116524,-0.003954180226944604,-1.2196505271651539
gs_bx,g28,7,360,E1 re-score,0.3385679709667543,rff_ens,0.2976987307508016,0.3418742391909308,linrank_m,0.3364827400353453,0.3364827400353453,0.3418742391909308,0.3364724691622603,3.1293515001529215e-09,gs_bx_estimators_g28_s007_w360_summary@fef5802+dirty,0.040869240215952674,-0.0033062682241765118,-0.967100718673927
gs_bx,g28,8,360,E1 re-score,0.3243760154960532,rff_ens,0.2841141530377955,0.3280378168166113,linrank_m,0.3173249857709586,0.3173249857709586,0.3280378168166113,0.3260280658766424,6.298996879650076e-10,gs_bx_estimators_g28_s008_w360_summary@fef5802+dirty,0.04026186245825769,-0.0036618013205581,-1.1162741406138612
gs_bx,g28,9,360,E1 re-score,0.2600657016804991,rff_ens,0.2463898055466132,0.2585119368890048,linrank_m,0.2585117042500119,0.2585117042500119,0.2585119368890048,0.2584815434572981,1.4414069937629392e-10,gs_bx_estimators_g28_s009_w360_summary@fef5802+dirty,0.013675896133885895,0.001553764791494272,0.6010417972154993
gs_bx,gx7,0,360,E1 re-score,0.3882299786670485,rff_lev_ens,0.3701056706638779,0.3882172084160313,mkt_est,0.3882172084160313,0.3882172084160313,0.3882141293204651,0.3880934280371581,0.0,gs_bx_estimators_gx7_s000_w360_summary@fef5802+dirty,0.01812430800317061,1.2770251017202305e-05,0.0032894603176676085
gs_bx,gx7,1,360,E1 re-score,0.3815368604577511,rff_ens,0.3516065647766817,0.3816627391736354,linrank_m,0.3802525517081262,0.3802525517081262,0.3816627391736354,0.3801974832078773,0.0,gs_bx_estimators_gx7_s001_w360_summary@fef5802+dirty,0.02993029568106942,-0.00012587871588431998,-0.03298166233278856
gs_bx,gx7,2,360,E1 re-score,0.4898730945861855,rff_lev_ens,0.4494016135607343,0.4883564942933463,linrank_m,0.4878217187232106,0.4878217187232106,0.4883564942933463,0.4875209758589577,0.0,gs_bx_estimators_gx7_s002_w360_summary@fef5802+dirty,0.04047148102545117,0.0015166002928391764,0.31055188383103266
gs_bx,gx7,3,360,E1 re-score,0.2864421604889873,rff_ens,0.2733066247205248,0.2865625525390504,linrank_m,0.2856673659318131,0.2856673659318131,0.2865625525390504,0.2856118538793133,0.0,gs_bx_estimators_gx7_s003_w360_summary@fef5802+dirty,0.013135535768462492,-0.0001203920500630895,-0.04201248523101547
gs_bx,gx7,4,360,E1 re-score,0.5512188803502768,rff_lev_ens,0.5289192823155484,0.5515299392211224,mkt_est,0.5515299392211224,0.5515299392211224,0.5515091990778078,0.5511269501101559,0.0,gs_bx_estimators_gx7_s004_w360_summary@fef5802+dirty,0.022299598034728363,-0.00031105887084559303,-0.05639927204765608
gs_bx,gx7,5,360,E1 re-score,0.3574675177292493,rff_lev_ens,0.3465357222038164,0.3576560901619467,mkt_est,0.3576560901619467,0.3576560901619467,0.3576392383166364,0.3574546769993492,0.0,gs_bx_estimators_gx7_s005_w360_summary@fef5802+dirty,0.010931795525432886,-0.0001885724326974314,-0.05272451326413757
gs_bx,gx7,6,360,E1 re-score,0.4566058979810268,rff_lev_ens,0.4312306303765191,0.4569435296098561,linrank_m,0.4548951172247176,0.4548951172247176,0.4569435296098561,0.4547622103827513,0.0,gs_bx_estimators_gx7_s006_w360_summary@fef5802+dirty,0.0253752676045077,-0.00033763162882932685,-0.07388913661116961
gs_bx,gx7,7,360,E1 re-score,0.6092929736099486,rff_lev_ens,0.5965992988425927,0.6088151357969136,mkt_est,0.6088151357969136,0.6088151357969136,0.6087951795118287,0.6079898090901177,0.0,gs_bx_estimators_gx7_s007_w360_summary@fef5802+dirty,0.012693674767355945,0.00047783781303500916,0.07848651995314462
gs_bx,gx7,8,360,E1 re-score,0.5073879142943065,rff_lev_ens,0.4878056939819946,0.5074932036448139,linrank_m,0.5054812291504954,0.5054812291504954,0.5074932036448139,0.5051955803607074,0.0,gs_bx_estimators_gx7_s008_w360_summary@fef5802+dirty,0.019582220312311938,-0.00010528935050735377,-0.020746947890369002
gs_bx,gx7,9,360,E1 re-score,0.3646739509550977,rff_lev_ens,0.327847904795959,0.3649783298026089,mkt_est,0.3649783298026089,0.3649783298026089,0.3649626150795331,0.3647018555050086,0.0,gs_bx_estimators_gx7_s009_w360_summary@fef5802+dirty,0.0368260461591387,-0.0003043788475112219,-0.08339641635048278
kp_vy,vyx,0,360,E1 re-score,0.7855704421509131,rff_ens,0.6718108874845838,0.6718108874845838,linrank,0.3394553334687655,0.3394553334687655,0.6718108874845837,0.6658727048931307,1.1102230246251565e-16,kp_vy_estimators_vyx_s000_w360_summary@fef5802+dirty,0.11375955466632925,0.11375955466632925,16.933270476200747
kp_vy,vyx,1,360,E1 re-score,0.703454752434368,rff_ens,0.609074520786921,0.609074520786921,fm,0.3705929651706949,0.3705929651706949,0.5879492341232072,0.599623782531222,0.0,kp_vy_estimators_vyx_s001_w360_summary@fef5802+dirty,0.09438023164744691,0.09438023164744691,15.495678841647843
kp_vy,vyx,2,360,E1 re-score,0.7604359284766408,rff_ens,0.6481477525932148,0.6481477525932148,fm,0.3553291344911979,0.3553291344911979,0.6330012539442437,0.619309775185673,1.1102230246251565e-16,kp_vy_estimators_vyx_s002_w360_summary@fef5802+dirty,0.11228817588342599,0.11228817588342599,17.32447199487543
kp_vy,vyx,3,360,E1 re-score,0.7557222213277158,rff_ens,0.6327051567934489,0.6334272808785893,linrank_m,0.3722371291546225,0.3722371291546225,0.6334272808785893,0.6316348174964463,1.1102230246251565e-16,kp_vy_estimators_vyx_s003_w360_summary@fef5802+dirty,0.12301706453426697,0.12229494044912648,19.306863493390818
kp_vy,vyx,4,360,E1 re-score,0.7506999029153362,rff_ens,0.6572618716008433,0.6572618716008433,fm,0.3661550637367012,0.3661550637367012,0.6490364457105015,0.640998663167741,1.1102230246251565e-16,kp_vy_estimators_vyx_s004_w360_summary@fef5802+dirty,0.09343803131449291,0.09343803131449291,14.21625616086826
kp_vy,vyx,5,360,E1 re-score,0.653131868605131,rff_lev_ens,0.5754027645886695,0.5754027645886695,linlev,0.3986973410814146,0.3986973410814145,0.5720040864550279,0.5734021125386003,0.0,kp_vy_estimators_vyx_s005_w360_summary@fef5802+dirty,0.07772910401646149,0.07772910401646149,13.508642780336077
kp_vy,vyx,6,360,E1 re-score,0.8073267840737768,rff_ens,0.6784328128383197,0.6784328128383197,linlev,0.3728885902350407,0.3728885902350407,0.6782452272539676,0.6769808951454228,1.1102230246251565e-16,kp_vy_estimators_vyx_s006_w360_summary@fef5802+dirty,0.1288939712354571,0.1288939712354571,18.998782015894975
kp_vy,vyx,7,360,E1 re-score,0.7160017570428291,rff_ens,0.6224218609607209,0.622421860960721,linrank_m,0.3859472441321501,0.3859472441321501,0.622421860960721,0.6164003543354121,2.220446049250313e-16,kp_vy_estimators_vyx_s007_w360_summary@fef5802+dirty,0.09357989608210815,0.09357989608210804,15.034802270226423
kp_vy,vyx,8,360,E1 re-score,0.7927410790614904,rff_ens,0.6851467664530345,0.6851467664530345,linlev,0.3564787270463923,0.3564787270463923,0.6790080171484817,0.682822992949111,1.1102230246251565e-16,kp_vy_estimators_vyx_s008_w360_summary@fef5802+dirty,0.10759431260845587,0.10759431260845587,15.703834255172135
kp_vy,vyx,9,360,E1 re-score,0.7496758532035953,rff_ens,0.6480895121784446,0.6480895121784446,linlev,0.3574363393926272,0.3574363393926272,0.645348222585941,0.6399352068729791,1.1102230246251565e-16,kp_vy_estimators_vyx_s009_w360_summary@fef5802+dirty,0.10158634102515074,0.10158634102515074,15.674739232191126
bgn_gam,bgnbase,0,360,own run,0.2392311493583261,rff_ens,0.2333612354069781,0.2389328017357094,linrank_m,0.1349216335149672,0.1349216335149672,0.2389328017357094,0.2205164015710407,,bgn_gam_estimators_bgnbase_s000_w360_summary@a5b5673+dirty,0.005869913951348005,0.0002983476226166848,0.12486674933259932
bgn_gam,bgnbase,1,360,own run,0.2353052110204377,rff_lev_ens,0.2164835751456733,0.2164835751456733,fm,0.1164533272454924,0.1164533272454924,0.2087339257621303,0.1597795145199336,,bgn_gam_estimators_bgnbase_s001_w360_summary@a5b5673+dirty,0.018821635874764403,0.018821635874764403,8.69425584000966
